Company Name,Job Title,Job Description,Job Date,Scraping data from page
Koko Networks,Data Analyst,"This company was formerly known as SmartCook Energy. Last-mile energy networks for Africa's cities. Smarter commerce for urban Africa.
Unique rich media delivery platforms.
Our mission is to im...",13 February,238.0
Actserv,Financial Advisor,"ACTSERV is an actuarial consulting firm with over two decades of business visibility. Having grown in scale and market share, we strive to improve on our service offering by embarking on adaptive tech...",13 February,238.0
International Livestock Research Institute (ILRI),Post-Doctoral Fellow - Genomic Epidemiology Analysis- Bioinformatics,The International Livestock Research Institute (ILRI) works to improve food security and reduce poverty in developing countries through research for better and more sustainable use of livestock. ILRI...,13 February,238.0
Sama,Payroll and HR Data Analyst,"Sama formerly known as Samasource is a training-data company, focusing on annotating data for artificial intelligence algorithms. The company offers image, video and sensor data annotation and validat...",13 February,238.0
SunCulture Kenya Ltd,Call Center Credit Collection Manager,"Since the sale of our first kit in 2013, SunCulture has been on a mission to help smallholder farmers in Africa improve both crop yields and quality. We are driven to constantly innovate and improve o...",13 February,239.0
CA Global,Senior Manager – Credit Risk Model Validation,"CA Global Headhunters is an international recruitment and staffing company with an in-depth focus on Recruitment in Africa. We recruit talent of the highest standard across African Sectors in Mining,...",13 February,239.0
World Health Organization,Consultant - GIS Data Management,"The World Health Organization is a specialized agency of the United Nations that is concerned with international public health. It was established on 7 April 1948, headquartered in Geneva, Switzerland...",11 February,240.0
NCBA Group,Portfolio Analyst,The new NCBA has harnessed the power of both NIC and CBA to create a bank that brings together the best of both worlds from cutting edge mobile banking to good old-fashioned relationship management; from scalable business banking to financial services that grow as your business does; from best-in-class choice of products to investment solutions tailored to your specific needs.,11 February,241.0
M-Kopa Solar,Credit Analyst,"M-KOPA’s mission is to make high quality energy affordable to everyone. OUR GROWTH SO FAR... M-KOPA has connected more than 400,000 homes in Kenya,Tanzania and Uganda to solar power with over 550 new homes being added every day.",11 February,241.0
European Climate Foundation (ECF),"Africa Regional Operations Senior Officer, Strategic Communications",The European Climate Foundation (ECF) was established in 2008 as a major philanthropic initiative to foster the development of a net-zero emissions society and help Europe to play an even stronger international leadership role to mitigate climate change.,10 February,242.0
Rainforest Alliance,Data Engineer,The Rainforest Alliance is a growing network of people who are inspired and committed to working together to achieve our mission of conserving biodiversity and ensuring sustainable livelihoods. Throug...,10 February,243.0
The International Centre for Reproductive Health,Research Assistants – 2 Posts,The International Centre for Reproductive Health (ICRH) is a multidisciplinary research institute within Ghent University. The Centre was established in 1994 in response to the International Conferenc...,10 February,243.0
Lean Energy Solutions,Grants and Carbon Credit Specialist,"Lean Solutions Group is comprised of Lean Energy Solutions Ltd, Lean Solutions Tanzania. We deal with Boiler Conversion, Manufacturing of Lean Briqs, Comprehensive Energy Audits",10 February,243.0
Aquaya,Research Program Manager,The Aquaya Institute is a non-profit research and consulting organization dedicated to improving health in the developing world. We deliver the knowledge and tools that are required to achieve univers...,10 February,244.0
RTI International,County Market and MHM Cluster Coordinator,RTI International is a nonprofit organization headquartered in the Research Triangle Park in North Carolina that provides research and technical services.,10 February,244.0
UNICEF,National Consultant for the Sub-National Adaptation of the Children’s Climate and Disaster Risk Assessment Model in Kenya,"UNICEF is the world’s largest provider of vaccines for developing countries, UNICEF supports child health and nutrition, good water and sanitation, quality basic education for all boys and girls...",09 February,245.0
Leowa Associates Limited,Enumerators Value Chain Analysis,"Leowa Associates Limited (Leowa) is an African led management consulting firm registered in Kenya offering a wide range of consulting services in the East African.
Our pool of experts is equipped with international experience backed with practical local experience.",09 February,245.0
International Livestock Research Institute (ILRI),Research Officer II – Agricultural Economist,The International Livestock Research Institute (ILRI) works to improve food security and reduce poverty in developing countries through research for better and more sustainable use of livestock. ILRI...,09 February,246.0
ABNO Softwares International,Digital Marketing Executive,"We are known for providing unique custom software solutions you cannot find easily on the market.ABNO Softwares International is firm based in Kenya; one stop shop for all custom software solutions, w...",09 February,246.0
Christian Blind Mission (CBM),Disability Inclusive Disaster Risk Reduction Knowledge Management and Learning Officer,"Christian Blind Mission (CBM) Kenya is an independent Member Association of the CBM Family, registered under Kenyan law as an incorporated company limited by guarantee, having a Memorandum and Article...",09 February,246.0
Jacaranda Health,Head of Data & Analytics - Repost,Jacaranda Health is a social enterprise and operates as a 501(c)3 in the US. Our mission is to transform maternal health care in East Africa and make pregnancy and childbirth safer for women and newb...,09 February,246.0
PalmPay,Business Development Manager - Financial Institutions,"PalmPay is a next generation mobile wallet that empowers anyone with a smartphone to open a financial account, send money and make payments. Available on Android and iOS.",09 February,247.0
M-Kopa Solar,"Sales Operations Manager, Mobility","M-KOPA’s mission is to make high quality energy affordable to everyone. OUR GROWTH SO FAR... M-KOPA has connected more than 400,000 homes in Kenya,Tanzania and Uganda to solar power with over 550 new homes being added every day.",09 February,247.0
d.light,Head of Risk,d.light is a global leader and pioneer in delivering affordable solar-powered solutions designed for the two billion people in the developing world without access to reliable energy. d.light provides...,09 February,247.0
Palladium International,"Technical Advisor, Information Security Engineer, Data.FI","Palladium develops and delivers solutions that create positive impact for communities, businesses, societies and economies. We transform lives and create enduring value by working with governments, co...",09 February,248.0
Penda Health,Community Marketing Manager,Penda Health is an award-winning startup company that is transforming healthcare in East Africa by building a chain of outpatient health clinics that offer evidence-based medical care and unparalleled...,09 February,248.0
Ilara Health,Post-Doctoral Scientist - Livestock Sector Policy Analysis and Engagement,"Ilara Health brings accurate and affordable diagnostics to the 500 million people in Africa who today struggle to access a simple blood test. We distribute low-cost, AI-powered diagnostic devices dire...",08 February,249.0
UNICEF,Social Protection Monitoring and Data Consultant,"UNICEF is the world’s largest provider of vaccines for developing countries, UNICEF supports child health and nutrition, good water and sanitation, quality basic education for all boys and girls...",08 February,249.0
Dynamic People Consulting (DPC),Operations Manager,"At Dynamic People Consulting (DPC), we offer a proactive response to the constantly evolving human resource market. Because your organization is unique, we take the time to learn your business, list...",08 February,249.0
SBM Bank,Manager – Talent & Performance,"SBM, a growing international financial institution in Africa, provides a wide range of corporate and commercial banking solutions to its clients. Kenya will operate as a gateway to Africa for SBM. SBM...",08 February,249.0
WTS Energy,Grants and Carbon Credit Specialist,"WTS Energy, headquartered in the Netherlands and established in 2000, is one of the leading Outsourcing & Workforce Management Companies to the Global Energy industry. WTS Supplies Manpower, Recru...",08 February,249.0
I&M Bank,Officer-Marketing & Communication,"I&M Bank is a wholly owned subsidiary of I&M Holdings Limited, a publicly quoted company at the Nairobi Securities Exchange (NSE). The bank possesses a rich heritage in banking.",08 February,251.0
Rockefeller Foundation,"Senior Analyst, Finance",The Rockefeller Foundation has a unique opportunity to play a central role in fixing food loss-an eminently fixable problem. Just as we deployed resources to increase production when there simply was...,08 February,251.0
Salix Data,Marketing Assistant,"SALIX has a global footprint, with headquarters and sales offices in Cincinnati, Ohio, and service facilities in Kenya and India. We have worked with over 2,500 of the fastest growing and most successful businesses in our region, including all local Fortune 500 companies, and many regional leaders, such as Cincinnati Children’s Hospital and The Columbus Dispatch.",08 February,251.0
Koko Networks,Senior Data Analyst,"This company was formerly known as SmartCook Energy. Last-mile energy networks for Africa's cities. Smarter commerce for urban Africa.
Unique rich media delivery platforms.
Our mission is to im...",08 February,251.0
BasiGo,Asset Finance Analyst,BasiGo is an e-mobility start-up looking to revolutionize the public transportation sector by providing public transport bus owners with a cost-effective electric alternative to diesel. Headquartered...,07 February,252.0
Africa Healthcare Network,Senior Financial Analyst,"Africa Healthcare Network has established the first and largest dialysis chain across Sub-Saharan Africa, providing high-quality, life-saving dialysis at affordable cost.",07 February,253.0
The Coca-Cola Company,10x Coverage & OOS Analyst,"The Coca-Cola Company, which is headquartered in Atlanta, Georgia, is an American multinational beverage corporation, and manufacturer, retailer, and marketer of nonalcoholic beverage concentrates and...",07 February,253.0
Strathmore University,Finance and Investment Manager,"Strathmore University is a Chartered University located in Nairobi, Kenya. It was the first multiracial and multi religious educational institution in English speaking Eastern Africa and more recently...",07 February,253.0
Palladium International,Deputy Chief of Party (DCOP)-Operations,"Palladium develops and delivers solutions that create positive impact for communities, businesses, societies and economies. We transform lives and create enduring value by working with governments, co...",07 February,254.0
Umba,Head of Finance and Operations,Umba combines advanced tools and techniques to optimize risk exposures in emerging markets that are currently underserved by traditional banking services.,07 February,254.0
Aquaya,(Senior) Research/Program Manager,The Aquaya Institute is a non-profit research and consulting organization dedicated to improving health in the developing world. We deliver the knowledge and tools that are required to achieve univers...,07 February,254.0
Center for International Forestry Research (CIFOR),Theme Leader - Sustainable Value Chains and Investments,"The Center for International Forestry Research (CIFOR) is a non-profit, scientific institution that conducts research on the most pressing challenges of forest and landscape management around the world. Using a global, multidisciplinary approach, we aim to improve human well-being, protect the environment, and increase equity. To do so, we conduct innovative research, develop partners’ capacity, and actively engage in dialogue with all stakeholders to inform policies and practices that affect forests and people.
CIFOR is a CGIAR Research Center, and leads the CGIAR Research Program on Forests, Trees and Agroforestry (FTA).
Our headquarters are in Bogor, Indonesia, with offices in Nairobi, Kenya; Yaounde, Cameroo",06 February,255.0
NCBA Group,Investment Manager,The new NCBA has harnessed the power of both NIC and CBA to create a bank that brings together the best of both worlds from cutting edge mobile banking to good old-fashioned relationship management; from scalable business banking to financial services that grow as your business does; from best-in-class choice of products to investment solutions tailored to your specific needs.,06 February,255.0
African Population And Health Research Center (APHRC),Senior Research Officer,"The African Population and Health Research Center (APHRC) is leading Africa-based, African-led, international research institution headquartered in Nairobi, Kenya, and conducting policy-relevant research on population, health, education, urbanization and related development issues on the continent.",06 February,255.0
Zamara Kenya,"Accountant, Credit Control","Zamara is a financial services firm that primarily offers Actuarial Services, Pensions Administration and Consulting and Insurance Brokerage Services. Zamara has been in the Kenyan Market for over 23 years, initially operating as Hymans Robertson and more recently as Alexander Forbes. Working at Zamara offers our people the opportunity to work for a Truly Pan-African Financial Services firm.",06 February,255.0
African Entrepreneur Collective (AEC),Business Analytics Manager,"AEC Kenya supports entrepreneurs to grow their business to improve livelihoods and to create thriving communities. Founded in 2018, as the Kenya affiliate of the African Entrepreneur Collective, AEC K...",06 February,255.0
United Nations Development Programme (UNDP),"Operations Associate, Volunteer Deployment","The United Nations Development Programme (UNDP) is the United Nations' global development network. Headquartered in New York City, UNDP advocates for change and connects countries to knowledge, experi...",06 February,256.0
Standard Chartered Bank Kenya,Financial Controller,"Standard Chartered Kenya, whose official name is Standard Chartered Bank Kenya Limited, but is sometimes referred to as Stanchart Kenya, is a commercial bank in Kenya.",06 February,256.0
Old Mutual Kenya,Credit Quality Assurance & Compliance Officer,"Old Mutual Kenya is based in Nairobi and is part of a larger group that offers solutions in long-term savings, asset management and investment. We offer solutions to individuals and corporates underpi...",06 February,257.0
Tushop,Community Leader Operations Associate,Tushop is a venture-backed technology-enabled company operating in Kenya. Our mission is to strengthen the welfare of communities by giving them more value with their groceries. We do so by aggregatin...,06 February,257.0
Partners for Health and Development in Africa,Program Operations Assistant,"Partners for Health and Development in Africa (PHDA) is a non-profit organization registered in Kenya, working in the health and development fields in Kenya and elsewhere in Africa.",06 February,257.0
CIC Insurance,Internal Auditor – Investments,"CIC Insurance Group Limited, commonly referred to as CIC Group, is an insurance and investment group that operates mainly in Kenya, Uganda, South Sudan and Malawi",06 February,257.0
Koko Networks,Director of Data & Analytics,"This company was formerly known as SmartCook Energy. Last-mile energy networks for Africa's cities. Smarter commerce for urban Africa.
Unique rich media delivery platforms.
Our mission is to im...",06 February,258.0
Northwave Credit Ltd,Digital Marketing and Content Creator,"Northwave credit limited was established some years ago under Companies Act of law of Kenya, with a distinct desire to deliver secure, and diligent financial solutions to SME's and employed individuals.",04 February,258.0
International Rescue Committee,Director of Economic Evaluation & Research,"The International Rescue Committee is a global humanitarian aid, relief and development nongovernmental organization.",04 February,259.0
Kenya Orient Insurance Limited,Business Analyst,The company was incorporated in 1982 by the Al Fateem Group of Dubai and was later acquired by Kenyans in 1988. Kenya Orient Insurance was then formed in 2004 after a transfer of ownership from the pr...,03 February,259.0
BioLite,Senior Carbon Data Analyst BioLite,"BioLite is on a mission to bring Energy Everywhereâ„¢ with revolutionary products that transform the way we Cook, Charge and Light our lives off the grid. We are a team of engineers a...",03 February,260.0
Public Service Commission Kenya (PSCK),"Director General, Public Investment and Portfolio","The Commission dates back to 1954 when Civil Service Commission was established by British Colonial Government following Holmes Commission Report, 1948;
Civil Service Commission was advisory to the G...",03 February,260.0
d.light,Data Manager,d.light is a global leader and pioneer in delivering affordable solar-powered solutions designed for the two billion people in the developing world without access to reliable energy. d.light provides...,03 February,260.0
International Finance Corporation (IFC),Associate Investment Officer,"The International Finance Corporation (IFC), the private sector arm of the World Bank Group, is a global leader, investor and advisor committed to projects in its developing member countries that redu...",03 February,261.0
Amref Kenya,Research Assistant,"Amref Health Africa in Kenya is the country programme office of Amref Health Africa, Africa’s largest International Health NGO. This is the largest and oldest country programme in Africa with an...",03 February,261.0
International Organization for Migration (IOM),Programme/Research Consultant,"Established in 1951, IOM is the leading inter-governmental organization in the field of migration and works closely with governmental, intergovernmental and non-governmental partners. With 165 member...",03 February,261.0
Standard Chartered Bank Kenya,"Head, Corporates Execution Sales, Financial Markets","Standard Chartered Kenya, whose official name is Standard Chartered Bank Kenya Limited, but is sometimes referred to as Stanchart Kenya, is a commercial bank in Kenya.",03 February,262.0
World Vision Kenya,Junior Business Intelligence (BI) Analyst,"World Vision is an international Christian relief, development and advocacy organisation working in almost 100 countries world-wide to create lasting change in the lives of children, families and comm...",03 February,262.0
McKinsey & Company,Security Operations & Resilience Manager,"McKinsey & Company is a global management consulting firm. We are the trusted advisor to the world's leading businesses, governments, and institutions.",03 February,262.0
Pfizer,"Senior Manager, Controls, Compliance & Risk Lead",Pfizer is a leading research-based biopharmaceutical company. We apply science and our global resources to deliver innovative therapies that extend and significantly improve lives. We make medicines a...,03 February,263.0
Frank Management Consult Ltd,Administration Assistant (Data Analyst),"Frank Management Consult Ltd is an international management consulting agency. We work with major companies, raising their performance, driving their strategies and enhancing their productivity.",02 February,263.0
Code for Africa (CfA),Research Analyst,"Code for Africa (CfA) uses technology and #OpenData to empower citizens. We give citizens actionable information for better-informed decision making and digital tools to amplify their voices, so that they can hold the authorities (both governmental and corporate) to account.",02 February,263.0
Africa Management Solutions Limited (AMSOL),Head– Sales & Marketing,Africa Management Solutions Limited (AMSOL) is the fastest growing Human Resources and Management consulting firm that offers an array of hr solutions tailored to accurately address all the human reso...,02 February,263.0
The Digital Monkeys,Finance and Operations Assistant,"TDM was born with the need of speaking more quietly & cutting out the small talk. We're not galvanized by other people, external stimuli, and we're more likely to disagree with an idea that we don't believe in.",02 February,263.0
Hotpoint Appliances Ltd,Senior Credit Controller,"Hotpoint Appliances Ltd was established in 1984. Its first store was located in the Sarit Centre shopping mall in Nairobi.
In late 1990s Hotpoint was awarded the Sole Distributorship Agency for LG...",02 February,264.0
Wasoko,Senior UX Researcher,"Wasoko is transforming communities across Africa by revolutionizing access to essential goods and services. By connecting small shops to the digital economy, we fix inefficient supply chains and provi...",02 February,264.0
International Potato Center,Researchers - Data and Information Systems,"The International Potato Center, known by its Spanish acronym CIP, was founded in 1971 as a root and tuber research-for-development institution delivering sustainable solutions to the pressing world p...",02 February,265.0
International Federation of Red Cross and Red Crescent Societies (IFRC),"Senior Officer, Planning, Monitoring, Evaluation and Reporting","The International Federation of Red Cross and Red Crescent Societies (IFRC) is the world’s largest humanitarian and development network, with millions of volunteers in 190 member National Societ...",02 February,265.0
UNICEF,"Senior Health Specialist - Implementation Research, PHC-HSS (P5) - Re-Advertisement","UNICEF is the world’s largest provider of vaccines for developing countries, UNICEF supports child health and nutrition, good water and sanitation, quality basic education for all boys and girls...",02 February,265.0
Tala (formerly InVenture),Senior Manager Risk & Compliance,Tala (formerly InVenture) builds mobile products that help creditworthy individuals in emerging markets validate their financial identities and get access to fair credit to advance their businesses an...,02 February,266.0
Rebune International Company,Sales and Marketing Manager,"Rebune Home Appliance Company is a company based in Mombasa, Kenya, and we are dedicated to distributing high-quality home appliances throughout the country. Our team is committed to providing excelle...",01 February,266.0
Canonical,Product Marketing Manager - Security,"We deliver open source to the world faster, more securely and more cost effectively than any other company. If you're interested in a career at Canonical, we are a remote-first company so please apply to any suitable role as skills are valued more than location, despite some having a preferred geographic preference.",01 February,267.0
Co-operative Bank of Kenya,Database Administrator,"The Co-operative Bank of Kenya Limited is incorporated in Kenya under the Company Act and is also licensed to do the business of banking under the Banking Act.
The Bank was initially registered und...",01 February,268.0
Mezzanine,Marketing Communications Manager,Mezzanine designs and builds digital technology solutions for customers across Africa in order to create productive societies.,01 February,268.0
NCBA Group,"Head, ICT Risk",The new NCBA has harnessed the power of both NIC and CBA to create a bank that brings together the best of both worlds from cutting edge mobile banking to good old-fashioned relationship management; from scalable business banking to financial services that grow as your business does; from best-in-class choice of products to investment solutions tailored to your specific needs.,01 February,268.0
CARE,Cash and Markets Regional Technical Advisor-ECSA,CARE International is a major humanitarian agency delivering emergency relief and long-term international development projects.,01 February,269.0
Wildlife Works,Research Scientist - Conservation,"Wildlife Works is the world's leading REDD+ (Reducing Emissions from Deforestation and Degradation), project development and management company with an effective approach to applying innovative market...",31 January,270.0
Upfield,Regional Digital Marketing Lead,"Upfield is a company selling multiple brands of margarine and other food spreads, including Flora, Blue Band, Stork, Becel, Country Crock and I C...",31 January,270.0
Deloitte Consulting,"Senior Manager, Quality & Risk","Deloitte Consulting is a leading provider of innovative development solutions to U.S. and international donors, foundations, governments, and Fortune 500 companies. With member firm presence in more t...",31 January,270.0
DKT Healthcare,Marketing Manager,"In 1989, Phil Harvey founded the nonprofit organization DKT International to promote family planning and HIV/AIDS prevention through social marketing.
Today, DKT International designs and implement...",31 January,270.0
Aga Khan University Hospital,"Business Development Manager, Marketing & Business Development","Aga Khan University Hospitals in Karachi, Pakistan and Nairobi, Kenya are private, not-for-profit institutions providing high quality health care. The Main Hospitals serve as the principal sites for c...",31 January,270.0
City Eye Hospital,Marketing Interns,City Eye Hospital is a social venture that provides quality and affordable eye care to people living in East Africa. Our primary mandate is to provide affordable and accessible eye care. Accessible on both fronts of location and price.,31 January,271.0
Ecobank Kenya,"Operations Manager Cards, Mobile & Digital Products","Ecobank Transnational Incorporated (ETI) acquired 75% of EABS Bank on the 16th of June 2008, and the bank consequently changed its name to Ecobank Kenya Limited. ETI subsequently increased its shareho...",30 January,273.0
Diageo,Decision Support Analyst Marketing,"Diageo is the world’s leading premium drinks company, a business built on the principles and foundations laid by the giants of our industry.",30 January,273.0
Water.org,"Regional Operations Lead, Africa","Water.org is a non-profit organization that has transformed thousands of communities in Africa, South Asia, and Central America by providing access to safe water and sanitation over the past twenty-on...",30 January,273.0
World Agroforestry Centre (ICRAF),Senior Market Intelligence Specialist,"The World Agroforestry Centre, is an international institute headquartered in Nairobi, Kenya, and founded in 1978. The Centre specializes in the sustainable management, protection and regulation of tr...",30 January,274.0
Ilara Health,Data Entry Clerks,"Ilara Health brings accurate and affordable diagnostics to the 500 million people in Africa who today struggle to access a simple blood test. We distribute low-cost, AI-powered diagnostic devices dire...",30 January,274.0
Farsight Africa Group,Data Analyst,"Founded in 2010, Farsight Africa Group is a leading full-service Pan-African communications company that delivers impactful solutions to companies, governments, development organisations and individua...",28 January,275.0
Nation Media Group,Senior Service Desk Analyst,The Nation Media Group (NMG) founded by His Highness the Aga Khan in 1959 has become the largest independent media house in East and Central Africa. It has been quoted on the Nairobi Stock Exchange si...,28 January,275.0
Save the Children,Researchers,"The Save the Children Fund, commonly known as Save the Children, is an international non-governmental organization that promotes children's rights, provides relief and helps support children in develo...",27 January,276.0
UNICEF,Operations Manager,"UNICEF is the world’s largest provider of vaccines for developing countries, UNICEF supports child health and nutrition, good water and sanitation, quality basic education for all boys and girls...",27 January,277.0
Madison Group Limited,Operations Manager,"Madison Group Limited is a locally owned financial services holding company that specializes in Insurance and wealth management services. The Group comprises of Madison Life Assurance Kenya Limited, Madison General Insurance Kenya Limited, and Madison Investment Managers Limited. Madison Life Assurance Kenya was originally incorporated under Kenyan Laws in 1988 as Madison Insurance Company Limited (MICK) after a successful merger between Crusader Plc (1974) and Kenya Commercial Insurance Corporation.",27 January,277.0
Catholic Relief,Finance Officer - Operations,Catholic Relief Services (CRS) is an international non-governmental organization supporting relief and development work in over 99 countries around the world. CRS programs assist persons on the basis...,27 January,277.0
Safaricom Kenya,M-Pesa Africa – Technical Operations Manager,"Safaricom is the leading provider of converged communication solutions in Kenya. In addition to providing a broad range of first-class products and services for Telephony, Broadband Internet and Financial services, Safaricom seeks to uplift the welfare of Kenyans through value-added services and support for community projects.",27 January,277.0
Binance,Growth and Operations Manager (PtoP),Binance is the world’s leading blockchain and cryptocurrency infrastructure provider with a financial product suite that includes the largest digital asset exchange by volume. Trusted by million...,27 January,277.0
One Acre Fund,Global Agroforestry Operations Lead,One Acre Fund is a nonprofit organization that supplies smallholder farmers in East Africa with asset-based financing and agriculture training services to reduce hunger and poverty.,27 January,278.0
Oracle,Application Sales Executive – AML & Financial Crime Compliance,"Oracle Corporation is an American multinational computer technology corporation, headquartered in Redwood City, California.",27 January,278.0
RTI International,Research Consultant,RTI International is a nonprofit organization headquartered in the Research Triangle Park in North Carolina that provides research and technical services.,27 January,278.0
InterIntel Technologies Limited,E-commerce and Digital Marketing Associate,"We are a team of passionate individuals who aspire to fuse the future and present I.T. Based challenges by offering cutting-edge software design and development, infrastructure, mobile-commerce soluti...",26 January,279.0
Microsoft,Human-Computer Interaction Researcher - PhD Internship,"Microsoft Corporation (commonly referred to as Microsoft or MS) is an American multinational technology company headquartered in Redmond, Washington, that develops, manufactures, licenses, supports an...",26 January,279.0
Nairobi Adventist Hospital,Marketing Intern,"Nairobi Adventist Hospital (NAH) is a Seventh-day Adventist (SDA) church-established and owned Hospital. It is a tertiary (level 4) hospital located in Nyari west area in Westlands sub-county, Nairobi County, Kenya.",26 January,279.0
Thermo Fisher Scientific,Senior/Principal Regulatory Affairs Specialist - CTA (Clinical Research Field),"Thermo Fisher Scientific Inc. (NYSE: TMO) is the world leader in serving science, with revenues of more than $24 billion and approximately 70,000 employees globally. Our mission is to enable our customers to make the world healthier, cleaner and safer. We help our customers accelerate life sciences research, solve complex analytical challenges, improve patient diagnostics, deliver medicines to market and increase laboratory productivity.",26 January,279.0
Stanbic Bank,"Senior Marketing Manager, Brand, Sponsorship and Foundation","Stanbic Bank is a division of Standard Bank, a member of the Standard Bank Group, based in Johannesburg, South Africa. Stanbic Bank was adopted as a trading name in 1992, when the Standard Bank Group,...",26 January,280.0
TechnoServe Kenya,Senior Program Analyst,"TechnoServe works with enterprising people in the developing world to build competitive farms, businesses and industries. We are a nonprofit organization that develops business solutions to poverty by...",26 January,280.0
COHERE,Digital Market Manager,"Cohere is an international NGO of 50+ employees registered in Uganda, Kenya, and the United Kingdom that specialises in building holistic partnerships with Refugee-Led Organisations (RLO) in refugee-h...",26 January,280.0
CrossBoundary,"Senior Manager, Business Operations",CrossBoundary is a mission driven investment firm committed to unlocking the power of capital to make a strong return while creating a lasting difference in frontier markets.,26 January,280.0
International Federation of Red Cross and Red Crescent Societies (IFRC),"Analyst, Finance (Bilingual) - Re-advertisement","The International Federation of Red Cross and Red Crescent Societies (IFRC) is the world’s largest humanitarian and development network, with millions of volunteers in 190 member National Societ...",26 January,280.0
Busara Center,"Senior Finance Officer, Operations and Compliance",The Busara Center for Behavioral Economics is an advisory and research organization focused on evaluation and implementation of behavioral interventions in understudied countries and populations. Busa...,26 January,281.0
World Vision Kenya,Global Operations Advisor,"World Vision is an international Christian relief, development and advocacy organisation working in almost 100 countries world-wide to create lasting change in the lives of children, families and comm...",26 January,281.0
Safaricom Kenya,Research and Design Lead,"Safaricom is the leading provider of converged communication solutions in Kenya. In addition to providing a broad range of first-class products and services for Telephony, Broadband Internet and Financial services, Safaricom seeks to uplift the welfare of Kenyans through value-added services and support for community projects.",26 January,282.0
Bioversity International,Research Fellow- Climate Information Services Specialist,"Who we are
Our vision and mission, history, and staff profiles.
Where we work
Find out where Bioversity International carries out its research
The Alliance of Bioversity International and CIAT...",26 January,282.0
Citi,Client Onboarding Analyst - French Speaking,"Citibank N.A. Kenya has been operating in Kenya since 1974 and has two branches in Nairobi and Mombasa, serving Corporate and Institutional clients. Citibank Kenya is the regional hub for the Citi Eas...",26 January,282.0
Execafrica Recruitment Limited,Senior Credit Officer,"Execafrica Recruitment Limited was founded in 2019 with Recruitment Experts who have more than 15 years of combined experience in Recruitment, Executive Search, Headhunting and Manpower planning.",25 January,283.0
Eldotec Consultancy Services Ltd,Data Operations Coordinator,Eldotec Consultancy Services Limited is a Kenyan Company based in Eldoret. Eldotec was incorporated in June 2015 and is a fully owned subsidiary of Canada based AssentCompliance.com currently constitu...,25 January,283.0
Cyber Security Africa,Sales and Marketing Executives,"Cyber Security Africa is a full-service Information Security Consulting firm offering a comprehensive range of Services and Products to help organizations protect their valuable assets.
We provide...",25 January,283.0
Frank Management Consult Ltd,Credit Administration Officer,"Frank Management Consult Ltd is an international management consulting agency. We work with major companies, raising their performance, driving their strategies and enhancing their productivity.",25 January,283.0
International Finance Corporation (IFC),Principal Investment Officer,"The International Finance Corporation (IFC), the private sector arm of the World Bank Group, is a global leader, investor and advisor committed to projects in its developing member countries that redu...",25 January,283.0
Bolt,Operations Manager,"Bolt, previously known as Taxify, is the leading European transportation platform providing ride-hailing and scooter sharing services. The company’s mission is to make urban travel easier, quicker and more reliable",25 January,284.0
CA Global,Business Operations Manager (Renewable Energy / Data Management / Change Management / Technical),"CA Global Headhunters is an international recruitment and staffing company with an in-depth focus on Recruitment in Africa. We recruit talent of the highest standard across African Sectors in Mining,...",25 January,284.0
Sanlam Investments East Africa (SIEA),Senior Risk and Compliance Officer,"Sanlam Investments East Africa (SIEA) is a leading fund manager in the region and has a strong record of accomplishment in service delivery and performance,with over KShs 230 billion (approximately US$ 2.3 billion) in assets under management.
SIEA is part of the Sanlam Group, through its subsidiary Sanlam Emerging Markets. The Sanlam Group is a leading financial services group with operations in more than 30 African countries and a primary listing on the Johannesburg Stock Exchange.",25 January,284.0
World Vision Kenya,"Data Analytics Program Manager,VisionFund International","World Vision is an international Christian relief, development and advocacy organisation working in almost 100 countries world-wide to create lasting change in the lives of children, families and comm...",25 January,285.0
Safaricom Kenya,Infrastructure Operations Engineer,"Safaricom is the leading provider of converged communication solutions in Kenya. In addition to providing a broad range of first-class products and services for Telephony, Broadband Internet and Financial services, Safaricom seeks to uplift the welfare of Kenyans through value-added services and support for community projects.",25 January,285.0
Aga Khan University (AKU),Research Assistant (2 Positions),"The Aga Khan University is a private, autonomous university that promotes human welfare through research, teaching and community service initiatives. Based on the principles of quality, access, impact...",25 January,285.0
Pula,Actuarial Analyst,"At Pula, we are radically restructuring agricultural insurance, using technology to insure the previously unbanked, uninsured, untapped market of 1.5 billion smallholders worldwide. We work in eight countries across Africa and Asia, and in 2017 alone, we facilitated crop and livestock insurance cover to 611,000 farmers in Kenya, Rwanda, Uganda, Nigeria, Ethiopia and Malawi. We are recruiting to fill the following position below:",24 January,286.0
Mount Kenya University,"Senior ICT Officer, Database Administrator","Mount Kenya University (MKU) is a fully fledged chartered university committed to a broad-based, wholistic and inclusive system of education. It has an overall goal of promoting human resource develop...",24 January,286.0
Citi,IRAU Credit Risk Associate,"Citibank N.A. Kenya has been operating in Kenya since 1974 and has two branches in Nairobi and Mombasa, serving Corporate and Institutional clients. Citibank Kenya is the regional hub for the Citi Eas...",24 January,286.0
M-Kopa Solar,Inventory Planning Analyst,"M-KOPA’s mission is to make high quality energy affordable to everyone. OUR GROWTH SO FAR... M-KOPA has connected more than 400,000 homes in Kenya,Tanzania and Uganda to solar power with over 550 new homes being added every day.",24 January,287.0
